customer_id,first_name,last_name,age,email,phone_number,address,city,state,postal_code,country,account_balance,monthly_payment,contract_length,data_usage,voice_usage,text_usage,plan_type,device_type,device_brand,device_model,customer_since,last_payment_date,churned,customer_rating,customer_complaints,customer_satisfaction,customer_engagement,customer_lifetime_value,customer_segment,customer_referral,customer_loyalty
1,Olly,Jakubovics,38,ojakubovics0@plala.or.jp,455-120-5128,353 Southridge Plaza,Beja,Beja,7800-009,Portugal,Euro,Rupee,6,68.43,477.99,237.59,prepaid,tablet,Apple,V40 ThinQ,7/14/2018,10/13/2020,true,5,8,3,8.45,Yuan Renminbi,low-value,true,false
2,Tracie,Worton,41,tworton1@google.co.uk,290-284-4079,83 Derek Court,Bošnjaci,,32275,Croatia,Kuna,Dollar,3,2.7,179.55,634.55,prepaid,feature phone,LG,iPhone X,12/6/2013,3/4/2021,true,4,4,10,92.88,Peso,medium-value,false,false
3,Hanny,Elgar,18,helgar2@amazon.com,244-133-5243,26997 Merrick Plaza,Bhairab Bāzār,,3521,Bangladesh,Taka,Franc,19,73.65,954.99,208.51,prepaid,tablet,Samsung,Pixel 4,1/21/2012,7/23/2020,false,1,2,10,22.89,Krona,low-value,true,true
4,Patrick,Heinle,27,pheinle3@slideshare.net,609-836-8038,003 Anthes Terrace,Měnín,,664 57,Czech Republic,Koruna,Rupiah,3,16.65,313.96,507.7,prepaid,smartphone,LG,Pixel 4,7/8/2016,1/22/2021,true,1,3,7,4.77,Yuan Renminbi,medium-value,true,false
5,Noni,Reame,81,nreame4@is.gd,703-485-2225,7 Mariners Cove Trail,Barang,,,Indonesia,Rupiah,Peso,16,44.66,738.2,56.33,postpaid,tablet,Apple,Galaxy S10,7/13/2010,11/28/2021,true,4,3,5,42.9,Peso,low-value,true,false
6,Cordelia,Cheake,76,ccheake5@ovh.net,432-438-3025,3909 Huxley Circle,Banjar Asahduren,,,Indonesia,Rupiah,Peso,13,27.61,141.9,866.04,prepaid,smartphone,Apple,Galaxy S10,1/4/2015,10/3/2020,true,2,9,1,20.17,Rupiah,low-value,false,false
7,Nannie,Casebourne,28,ncasebourne6@statcounter.com,270-554-3573,91819 Lake View Road,Zhaogezhuang,,,China,Yuan Renminbi,Shekel,18,55.33,613.49,751.75,family,tablet,Samsung,iPhone X,3/21/2017,8/15/2021,true,2,5,2,70.4,Dollar,low-value,false,true
8,Susi,Lakenton,82,slakenton7@mashable.com,501-313-6717,9418 Grover Street,Little Rock,Arkansas,72204,United States,Dollar,Peso,19,29.25,242.6,531.11,family,smartphone,Apple,V40 ThinQ,1/3/2015,7/12/2021,true,1,8,10,54.71,Euro,low-value,false,false
9,Hephzibah,Munby,48,hmunby8@yahoo.co.jp,410-783-0629,8 Summit Terrace,Sastöbe,,,Kazakhstan,Tenge,Real,9,42.09,10.08,241.25,postpaid,feature phone,Motorola,iPhone X,8/10/2013,3/21/2020,false,4,8,8,7.09,Dong,high-value,false,false
10,Dennison,Ramme,20,dramme9@guardian.co.uk,106-407-9098,5514 Upham Point,Leeuwarden,Provincie Friesland,8914,Netherlands,Euro,Yuan Renminbi,23,16.63,967.2,183.13,postpaid,feature phone,LG,V40 ThinQ,6/29/2014,7/16/2020,false,1,7,4,34.78,Rupiah,medium-value,true,false
